# HfO 1% from NIST Database
1.01e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
1.00e+00 1.11e-01 3.50e+00 0.00e+00 0.00e+00
8.00e+00 8.80e-01 3.50e+00 0.00e+00 0.00e+00
7.20e+01 9.18e-03 3.50e+00 0.00e+00 0.00e+00
0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
1.00e-03 4.47e-01 4.99e-02 4.10e+01 0.00e+00
1.50e-03 3.94e-01 9.77e-02 1.66e+01 0.00e+00
1.66e-03 3.76e-01 1.14e-01 1.31e+01 0.00e+00
1.66e-03 3.76e-01 1.14e-01 1.57e+01 0.00e+00
1.69e-03 3.73e-01 1.17e-01 2.21e+01 0.00e+00
1.72e-03 3.70e-01 1.19e-01 3.16e+01 0.00e+00
1.72e-03 3.70e-01 1.19e-01 3.53e+01 0.00e+00
2.00e-03 3.39e-01 1.47e-01 3.41e+01 0.00e+00
2.11e-03 3.28e-01 1.57e-01 2.99e+01 0.00e+00
2.11e-03 3.28e-01 1.57e-01 3.45e+01 0.00e+00
2.23e-03 3.15e-01 1.68e-01 3.00e+01 0.00e+00
2.37e-03 3.02e-01 1.79e-01 2.61e+01 0.00e+00
2.37e-03 3.02e-01 1.79e-01 2.76e+01 0.00e+00
2.48e-03 2.91e-01 1.89e-01 2.47e+01 0.00e+00
2.60e-03 2.81e-01 1.98e-01 2.21e+01 0.00e+00
2.60e-03 2.81e-01 1.98e-01 2.31e+01 0.00e+00
3.00e-03 2.48e-01 2.26e-01 1.65e+01 0.00e+00
4.00e-03 1.87e-01 2.77e-01 8.19e+00 0.00e+00
5.00e-03 1.47e-01 3.07e-01 4.69e+00 0.00e+00
6.00e-03 1.19e-01 3.26e-01 2.96e+00 0.00e+00
8.00e-03 8.46e-02 3.46e-01 1.41e+00 0.00e+00
9.56e-03 6.77e-02 3.54e-01 8.84e-01 0.00e+00
9.56e-03 6.77e-02 3.54e-01 2.31e+00 0.00e+00
1.00e-02 6.40e-02 3.55e-01 2.08e+00 0.00e+00
1.07e-02 5.83e-02 3.57e-01 1.71e+00 0.00e+00
1.07e-02 5.83e-02 3.57e-01 2.35e+00 0.00e+00
1.10e-02 5.65e-02 3.58e-01 2.21e+00 0.00e+00
1.13e-02 5.47e-02 3.58e-01 2.09e+00 0.00e+00
1.13e-02 5.47e-02 3.58e-01 2.41e+00 0.00e+00
1.50e-02 3.71e-02 3.61e-01 1.16e+00 0.00e+00
2.00e-02 2.47e-02 3.60e-01 5.41e-01 0.00e+00
3.00e-02 1.37e-02 3.51e-01 1.81e-01 0.00e+00
4.00e-02 8.70e-03 3.42e-01 8.24e-02 0.00e+00
5.00e-02 6.04e-03 3.32e-01 4.45e-02 0.00e+00
6.00e-02 4.47e-03 3.23e-01 2.68e-02 0.00e+00
6.54e-02 3.88e-03 3.19e-01 2.11e-02 0.00e+00
6.54e-02 3.88e-03 3.19e-01 1.09e-01 0.00e+00
8.00e-02 2.76e-03 3.07e-01 6.42e-02 0.00e+00
1.00e-01 1.87e-03 2.92e-01 3.56e-02 0.00e+00
1.50e-01 9.02e-04 2.63e-01 1.19e-02 0.00e+00
2.00e-01 5.33e-04 2.41e-01 5.43e-03 0.00e+00
3.00e-01 2.51e-04 2.10e-01 1.83e-03 0.00e+00
4.00e-01 1.45e-04 1.88e-01 8.69e-04 0.00e+00
5.00e-01 9.44e-05 1.72e-01 5.00e-04 0.00e+00
6.00e-01 6.63e-05 1.59e-01 3.25e-04 0.00e+00
8.00e-01 3.78e-05 1.40e-01 1.71e-04 0.00e+00
1.00e+00 2.44e-05 1.26e-01 1.07e-04 0.00e+00
1.02e+00 2.34e-05 1.24e-01 1.03e-04 0.00e+00
1.25e+00 1.57e-05 1.12e-01 6.92e-05 7.46e-06
1.50e+00 1.09e-05 1.02e-01 4.93e-05 3.92e-05
2.00e+00 6.18e-06 8.71e-02 2.99e-05 1.46e-04
2.04e+00 5.92e-06 8.60e-02 2.88e-05 1.56e-04
3.00e+00 2.75e-06 6.85e-02 1.57e-05 4.18e-04
4.00e+00 1.55e-06 5.71e-02 1.03e-05 7.24e-04
5.00e+00 9.93e-07 4.94e-02 7.58e-06 1.03e-03
6.00e+00 6.90e-07 4.36e-02 5.95e-06 1.31e-03
7.00e+00 5.07e-07 3.92e-02 4.88e-06 1.58e-03
8.00e+00 3.88e-07 3.57e-02 4.13e-06 1.83e-03
9.00e+00 3.07e-07 3.28e-02 3.57e-06 2.06e-03
1.00e+01 2.48e-07 3.04e-02 3.15e-06 2.27e-03
1.10e+01 2.05e-07 2.83e-02 2.81e-06 2.47e-03
1.20e+01 1.73e-07 2.66e-02 2.53e-06 2.66e-03
1.30e+01 1.47e-07 2.50e-02 2.31e-06 2.83e-03
1.40e+01 1.27e-07 2.37e-02 2.12e-06 3.00e-03
1.50e+01 1.10e-07 2.25e-02 1.96e-06 3.15e-03
1.60e+01 9.71e-08 2.14e-02 1.82e-06 3.30e-03
1.80e+01 7.67e-08 1.96e-02 1.59e-06 3.57e-03
2.00e+01 6.21e-08 1.81e-02 1.42e-06 3.81e-03    
